holy7c26407.rc.fas.harvard.edu
... Running 27
    ... Pulling Data
star is GAIA DR3 6176972663179499648
spectrum file is /n/holyscratch01/conroy_lab/vchandra/mage/MS/ms_input/6176972663179499648.fits
[7000 7000 7000 ... 7000 7000 7000]
    ... GaiaEDR3 Parallax = 9.53293 +/- 0.0486122
    ... SFD Av = 0.151773
    ... Building Phot
    ... Building Spec
spectrum from 5050 to 5299 wavelengths
    ... Building Input Dict
    ... Building Sampler Options
    ... Building Prior Options
    ... Writing to: /n/holyscratch01/conroy_lab/vchandra/mage/MS/ms_input/output/samp_run_27_spec_6176972663179499648_h3.dat
---------------
    Median Spec Flux: 
       546528.1384409412
    Median Spec Err_Flux:
       1921.3596849457083
    Fitting Wavelengths:
       5050.292334365559 -- 5299.87335363952
    Min Resolution of Spectrum: 0.306357
    Max Resolution of Spectrum: 0.321497
    Mean Resolution of Spectrum: 0.313847
    Fitting w/ ANN: LinNet
---------------
    PHOT:
       GaiaEDR3_G = 6.189981937408447 +/- 0.020005773887994238
       GaiaEDR3_BP = 6.1689605712890625 +/- 0.020041337012047186
       GaiaEDR3_RP = 6.188589572906494 +/- 0.020122023325557587
    PRIORS:
       EEP: min=1 max=808
       initial_Mass: min=0.5 max=2.0
       initial_[Fe/H]: min=-4.0 max=0.25
       initial_[a/Fe]: min=-0.2 max=0.6
       Dist: min=99.80984655975054 max=110.5362360815017
       Av: N(0.15177272319048643,0.015177272319048644) [0.0 - 0.7588636159524321]
       Age: min=6.0 max=14.0
       Parallax: N(9.532929311243086,0.048612226)
       Vrad: min=-350.0 max=350.0
       Inst_R: fixed(8000.0)
       Turned on IMF prior
--------------
... fitting spectrum
... Fitting a Blaze function
... Fitting a Blaze function with polyoder: 4
... fitting photometry
... MS sampling pars:
    ... Vrad
    ... Vrot
    ... Dist
    ... Av
    ... EEP
    ... initial_[Fe/H]
    ... initial_[a/Fe]
    ... initial_Mass
    ... pc_0
    ... pc_1
    ... pc_2
    ... pc_3
Using Model: /n/home03/vchandra/software/MS_files/MIST_2.0_spot_EEPtrk_small.h5
Static Dynesty w/ rwalk sampler, 25 walks/slices, 250 number of samples, Ndim = 12, and w/ stopping criteria of dlog(z) = 0.01: 2022-09-20 13:18:19.935809
Max Iter: 9223372036854775807 / Max Call: 9223372036854775807
Start Sampling @ 2022-09-20 13:18:22.410783
iter: 0 | nc: 4 | ncall: 4 | eff(%):  0.394 | logz:   -inf +/-    nan | loglk:   -inf | dlogz:    inf >  0.010   | mean(time):  0.01493 | time: 2022-09-20 13:18:22.470998 
iter: 4750 | nc: 25 | ncall: 115766 | eff(%):  4.095 | logz: -9701.586 +/-    nan | loglk: -9676.405 | dlogz: 3116.169 >  0.010   | mean(time):  0.00884 | time: 2022-09-20 13:35:35.263623 
iter: 5000 | nc: 25 | ncall: 122016 | eff(%):  4.090 | logz: -8827.598 +/-    nan | loglk: -8801.858 | dlogz: 3054.060 >  0.010   | mean(time):  0.00882 | time: 2022-09-20 13:36:30.387831 
iter: 5250 | nc: 25 | ncall: 128266 | eff(%):  4.086 | logz: -8083.901 +/-    nan | loglk: -8057.261 | dlogz: 2363.039 >  0.010   | mean(time):  0.00885 | time: 2022-09-20 13:37:25.724544 
iter: 5500 | nc: 25 | ncall: 134535 | eff(%):  4.081 | logz: -7478.701 +/-    nan | loglk: -7451.202 | dlogz: 1874.299 >  0.010   | mean(time):  0.00878 | time: 2022-09-20 13:38:20.789375 
iter: 5750 | nc: 25 | ncall: 140817 | eff(%):  4.077 | logz: -6957.222 +/-    nan | loglk: -6928.052 | dlogz: 1356.420 >  0.010   | mean(time):  0.00884 | time: 2022-09-20 13:39:16.356247 
iter: 6000 | nc: 40 | ncall: 147246 | eff(%):  4.069 | logz: -6634.238 +/-    nan | loglk: -6604.961 | dlogz: 1050.987 >  0.010   | mean(time):  0.00879 | time: 2022-09-20 13:40:12.850392 
iter: 6250 | nc: 25 | ncall: 153539 | eff(%):  4.065 | logz: -6334.668 +/-    nan | loglk: -6305.086 | dlogz: 779.030 >  0.010   | mean(time):  0.00872 | time: 2022-09-20 13:41:07.732150 
iter: 6500 | nc: 25 | ncall: 159789 | eff(%):  4.062 | logz: -6075.112 +/-    nan | loglk: -6044.323 | dlogz: 518.587 >  0.010   | mean(time):  0.00878 | time: 2022-09-20 13:42:02.590513 
iter: 6750 | nc: 25 | ncall: 166068 | eff(%):  4.059 | logz: -5880.137 +/-    nan | loglk: -5847.342 | dlogz: 600.969 >  0.010   | mean(time):  0.00870 | time: 2022-09-20 13:42:57.241629 
iter: 7000 | nc: 25 | ncall: 172331 | eff(%):  4.057 | logz: -5723.948 +/-    nan | loglk: -5691.257 | dlogz: 989.453 >  0.010   | mean(time):  0.00884 | time: 2022-09-20 13:43:52.609351 
iter: 7250 | nc: 25 | ncall: 178623 | eff(%):  4.054 | logz: -5585.633 +/-    nan | loglk: -5552.215 | dlogz: 850.129 >  0.010   | mean(time):  0.00880 | time: 2022-09-20 13:44:47.968552 
iter: 7500 | nc: 25 | ncall: 184933 | eff(%):  4.051 | logz: -5494.665 +/-    nan | loglk: -5460.497 | dlogz: 758.056 >  0.010   | mean(time):  0.00862 | time: 2022-09-20 13:45:42.364511 
iter: 7750 | nc: 25 | ncall: 191312 | eff(%):  4.046 | logz: -5420.718 +/-    nan | loglk: -5385.015 | dlogz: 683.376 >  0.010   | mean(time):  0.00885 | time: 2022-09-20 13:46:38.818119 
iter: 8000 | nc: 25 | ncall: 197620 | eff(%):  4.044 | logz: -5349.731 +/-    nan | loglk: -5313.695 | dlogz: 611.079 >  0.010   | mean(time):  0.00878 | time: 2022-09-20 13:47:34.205828 
iter: 8250 | nc: 25 | ncall: 203901 | eff(%):  4.042 | logz: -5271.924 +/-    nan | loglk: -5235.002 | dlogz: 673.466 >  0.010   | mean(time):  0.00852 | time: 2022-09-20 13:48:27.695253 
iter: 8500 | nc: 25 | ncall: 210634 | eff(%):  4.031 | logz: -5137.275 +/-    nan | loglk: -5097.365 | dlogz: 546.550 >  0.010   | mean(time):  0.00863 | time: 2022-09-20 13:49:25.798806 
iter: 8750 | nc: 25 | ncall: 216884 | eff(%):  4.030 | logz: -4990.041 +/-    nan | loglk: -4950.079 | dlogz: 418.372 >  0.010   | mean(time):  0.00880 | time: 2022-09-20 13:50:20.815712 
iter: 9000 | nc: 25 | ncall: 223140 | eff(%):  4.029 | logz: -4871.855 +/-    nan | loglk: -4831.548 | dlogz: 362.013 >  0.010   | mean(time):  0.00857 | time: 2022-09-20 13:51:14.421191 
iter: 9250 | nc: 25 | ncall: 229390 | eff(%):  4.028 | logz: -4762.935 +/-    nan | loglk: -4721.479 | dlogz: 270.034 >  0.010   | mean(time):  0.00858 | time: 2022-09-20 13:52:08.027285 
iter: 9500 | nc: 25 | ncall: 235640 | eff(%):  4.028 | logz: -4688.364 +/-    nan | loglk: -4646.659 | dlogz: 280.852 >  0.010   | mean(time):  0.00864 | time: 2022-09-20 13:53:02.006712 
iter: 9750 | nc: 25 | ncall: 241890 | eff(%):  4.027 | logz: -4622.894 +/-    nan | loglk: -4579.895 | dlogz: 217.908 >  0.010   | mean(time):  0.00881 | time: 2022-09-20 13:53:57.091722 
iter: 10000 | nc: 25 | ncall: 248140 | eff(%):  4.026 | logz: -4564.788 +/-    nan | loglk: -4520.784 | dlogz: 204.709 >  0.010   | mean(time):  0.00859 | time: 2022-09-20 13:54:50.761451 
iter: 10250 | nc: 25 | ncall: 254390 | eff(%):  4.026 | logz: -4512.199 +/-    nan | loglk: -4467.217 | dlogz: 163.370 >  0.010   | mean(time):  0.00863 | time: 2022-09-20 13:55:44.690010 
iter: 10500 | nc: 25 | ncall: 260640 | eff(%):  4.025 | logz: -4464.191 +/-    nan | loglk: -4418.420 | dlogz: 190.593 >  0.010   | mean(time):  0.00857 | time: 2022-09-20 13:56:38.249486 
iter: 10750 | nc: 25 | ncall: 266890 | eff(%):  4.024 | logz: -4421.399 +/-    nan | loglk: -4375.123 | dlogz: 169.825 >  0.010   | mean(time):  0.00852 | time: 2022-09-20 13:57:31.518788 
iter: 11000 | nc: 25 | ncall: 273140 | eff(%):  4.024 | logz: -4384.284 +/-    nan | loglk: -4336.655 | dlogz: 131.769 >  0.010   | mean(time):  0.00857 | time: 2022-09-20 13:58:25.052149 
iter: 11250 | nc: 25 | ncall: 279390 | eff(%):  4.023 | logz: -4355.078 +/-    nan | loglk: -4306.773 | dlogz: 124.098 >  0.010   | mean(time):  0.00827 | time: 2022-09-20 13:59:16.718577 
iter: 11500 | nc: 25 | ncall: 285640 | eff(%):  4.023 | logz: -4325.652 +/-    nan | loglk: -4276.107 | dlogz: 111.719 >  0.010   | mean(time):  0.00817 | time: 2022-09-20 14:00:07.778059 
iter: 11750 | nc: 25 | ncall: 291890 | eff(%):  4.022 | logz: -4301.615 +/-    nan | loglk: -4251.800 | dlogz: 94.075 >  0.010   | mean(time):  0.00834 | time: 2022-09-20 14:00:59.919254 
iter: 12000 | nc: 25 | ncall: 298140 | eff(%):  4.022 | logz: -4281.490 +/-    nan | loglk: -4230.590 | dlogz: 95.669 >  0.010   | mean(time):  0.00817 | time: 2022-09-20 14:01:50.969525 
iter: 12250 | nc: 25 | ncall: 304390 | eff(%):  4.021 | logz: -4263.718 +/-    nan | loglk: -4211.813 | dlogz: 84.142 >  0.010   | mean(time):  0.00833 | time: 2022-09-20 14:02:43.002930 
iter: 12500 | nc: 25 | ncall: 310793 | eff(%):  4.019 | logz: -4247.358 +/-    nan | loglk: -4195.186 | dlogz: 92.973 >  0.010   | mean(time):  0.00811 | time: 2022-09-20 14:03:34.953776 
iter: 12750 | nc: 25 | ncall: 317061 | eff(%):  4.018 | logz: -4233.510 +/-    nan | loglk: -4180.005 | dlogz: 79.434 >  0.010   | mean(time):  0.00812 | time: 2022-09-20 14:04:25.868946 
iter: 13000 | nc: 25 | ncall: 323463 | eff(%):  4.016 | logz: -4221.683 +/-    nan | loglk: -4167.299 | dlogz: 66.602 >  0.010   | mean(time):  0.00835 | time: 2022-09-20 14:05:19.344155 
iter: 13250 | nc: 25 | ncall: 329822 | eff(%):  4.015 | logz: -4209.889 +/-    nan | loglk: -4154.684 | dlogz: 63.505 >  0.010   | mean(time):  0.00811 | time: 2022-09-20 14:06:10.908742 
iter: 13500 | nc: 25 | ncall: 336487 | eff(%):  4.009 | logz: -4197.327 +/-    nan | loglk: -4141.062 | dlogz: 56.305 >  0.010   | mean(time):  0.00830 | time: 2022-09-20 14:07:06.220406 
iter: 13750 | nc: 25 | ncall: 342737 | eff(%):  4.009 | logz: -4187.144 +/-    nan | loglk: -4129.840 | dlogz: 62.224 >  0.010   | mean(time):  0.00811 | time: 2022-09-20 14:07:56.882103 
iter: 14000 | nc: 25 | ncall: 348995 | eff(%):  4.009 | logz: -4176.544 +/-    nan | loglk: -4118.308 | dlogz: 50.624 >  0.010   | mean(time):  0.00813 | time: 2022-09-20 14:08:47.759194 
iter: 14250 | nc: 25 | ncall: 355328 | eff(%):  4.008 | logz: -4167.836 +/-    nan | loglk: -4109.050 | dlogz: 43.617 >  0.010   | mean(time):  0.00825 | time: 2022-09-20 14:09:40.009926 
iter: 14500 | nc: 25 | ncall: 361585 | eff(%):  4.008 | logz: -4158.814 +/-    nan | loglk: -4098.705 | dlogz: 89.040 >  0.010   | mean(time):  0.00810 | time: 2022-09-20 14:10:30.690651 
iter: 14750 | nc: 25 | ncall: 367869 | eff(%):  4.007 | logz: -4151.485 +/-    nan | loglk: -4090.556 | dlogz: 80.706 >  0.010   | mean(time):  0.00810 | time: 2022-09-20 14:11:21.565583 
iter: 15000 | nc: 25 | ncall: 374257 | eff(%):  4.006 | logz: -4144.401 +/-    nan | loglk: -4082.401 | dlogz: 72.629 >  0.010   | mean(time):  0.00810 | time: 2022-09-20 14:12:13.322733 
iter: 15250 | nc: 25 | ncall: 380841 | eff(%):  4.002 | logz: -4136.501 +/-    nan | loglk: -4073.598 | dlogz: 63.728 >  0.010   | mean(time):  0.00830 | time: 2022-09-20 14:13:07.939373 
iter: 15500 | nc: 25 | ncall: 387334 | eff(%):  3.999 | logz: -4129.541 +/-    nan | loglk: -4065.692 | dlogz: 55.768 >  0.010   | mean(time):  0.00809 | time: 2022-09-20 14:14:00.430682 
iter: 15750 | nc: 44 | ncall: 393680 | eff(%):  3.998 | logz: -4123.334 +/-    nan | loglk: -4058.657 | dlogz: 48.558 >  0.010   | mean(time):  0.00835 | time: 2022-09-20 14:14:53.394159 
iter: 16000 | nc: 25 | ncall: 400126 | eff(%):  3.996 | logz: -4117.759 +/-    nan | loglk: -4052.134 | dlogz: 41.984 >  0.010   | mean(time):  0.00883 | time: 2022-09-20 14:15:50.370544 
iter: 16250 | nc: 25 | ncall: 407358 | eff(%):  3.987 | logz: -4111.412 +/-    nan | loglk: -4044.962 | dlogz: 34.636 >  0.010   | mean(time):  0.00821 | time: 2022-09-20 14:16:49.761474 
iter: 16500 | nc: 25 | ncall: 413684 | eff(%):  3.986 | logz: -4105.755 +/-    nan | loglk: -4038.196 | dlogz: 30.204 >  0.010   | mean(time):  0.00817 | time: 2022-09-20 14:17:41.416424 
iter: 16750 | nc: 25 | ncall: 420247 | eff(%):  3.984 | logz: -4101.368 +/-    nan | loglk: -4033.080 | dlogz: 30.685 >  0.010   | mean(time):  0.00825 | time: 2022-09-20 14:18:35.634974 
iter: 17000 | nc: 25 | ncall: 426976 | eff(%):  3.979 | logz: -4096.613 +/-    nan | loglk: -4027.155 | dlogz: 24.935 >  0.010   | mean(time):  0.00821 | time: 2022-09-20 14:19:30.865137 
iter: 17250 | nc: 25 | ncall: 434500 | eff(%):  3.968 | logz: -4092.512 +/-    nan | loglk: -4022.273 | dlogz: 22.092 >  0.010   | mean(time):  0.00827 | time: 2022-09-20 14:20:32.951618 
iter: 17500 | nc: 25 | ncall: 441127 | eff(%):  3.965 | logz: -4088.267 +/-    nan | loglk: -4016.936 | dlogz: 32.016 >  0.010   | mean(time):  0.00868 | time: 2022-09-20 14:21:30.411434 
iter: 17750 | nc: 25 | ncall: 448727 | eff(%):  3.954 | logz: -4083.888 +/-    nan | loglk: -4011.398 | dlogz: 30.082 >  0.010   | mean(time):  0.00848 | time: 2022-09-20 14:22:34.620957 
iter: 18000 | nc: 25 | ncall: 457661 | eff(%):  3.931 | logz: -4079.706 +/-    nan | loglk: -4006.507 | dlogz: 27.429 >  0.010   | mean(time):  0.00831 | time: 2022-09-20 14:23:48.562136 
iter: 18250 | nc: 25 | ncall: 465483 | eff(%):  3.919 | logz: -4076.239 +/-    nan | loglk: -4002.175 | dlogz: 23.762 >  0.010   | mean(time):  0.00820 | time: 2022-09-20 14:24:52.699620 
iter: 18500 | nc: 25 | ncall: 482950 | eff(%):  3.829 | logz: -4072.653 +/-    nan | loglk: -3997.485 | dlogz: 28.119 >  0.010   | mean(time):  0.00834 | time: 2022-09-20 14:27:18.159746 
iter: 18750 | nc: 25 | ncall: 512511 | eff(%):  3.657 | logz: -4068.790 +/-    nan | loglk: -3992.521 | dlogz: 29.198 >  0.010   | mean(time):  0.00829 | time: 2022-09-20 14:31:21.029728 
iter: 19000 | nc: 25 | ncall: 554231 | eff(%):  3.427 | logz: -4065.374 +/-    nan | loglk: -3988.231 | dlogz: 29.451 >  0.010   | mean(time):  0.00836 | time: 2022-09-20 14:37:06.173168 
iter: 19250 | nc: 25 | ncall: 561497 | eff(%):  3.427 | logz: -4061.655 +/-    nan | loglk: -3983.316 | dlogz: 24.737 >  0.010   | mean(time):  0.00832 | time: 2022-09-20 14:38:06.508839 
iter: 19500 | nc: 25 | ncall: 568528 | eff(%):  3.429 | logz: -4057.914 +/-    nan | loglk: -3978.730 | dlogz: 35.571 >  0.010   | mean(time):  0.00849 | time: 2022-09-20 14:39:06.055810 
iter: 19750 | nc: 25 | ncall: 575882 | eff(%):  3.428 | logz: -4054.062 +/-    nan | loglk: -3973.906 | dlogz: 30.720 >  0.010   | mean(time):  0.00879 | time: 2022-09-20 14:40:10.459775 
iter: 20000 | nc: 25 | ncall: 583403 | eff(%):  3.427 | logz: -4050.330 +/-    nan | loglk: -3969.194 | dlogz: 25.991 >  0.010   | mean(time):  0.00861 | time: 2022-09-20 14:41:15.167572 
iter: 20250 | nc: 25 | ncall: 593993 | eff(%):  3.408 | logz: -4046.370 +/-    nan | loglk: -3963.963 | dlogz: 21.037 >  0.010   | mean(time):  0.00846 | time: 2022-09-20 14:42:44.088699 
iter: 20500 | nc: 64 | ncall: 633000 | eff(%):  3.237 | logz: -4042.076 +/-    nan | loglk: -3958.826 | dlogz: 26.162 >  0.010   | mean(time):  0.00824 | time: 2022-09-20 14:48:03.740108 
iter: 20750 | nc: 25 | ncall: 667819 | eff(%):  3.106 | logz: -4038.534 +/-    nan | loglk: -3954.540 | dlogz: 22.063 >  0.010   | mean(time):  0.00831 | time: 2022-09-20 14:52:49.414963 
iter: 21000 | nc: 25 | ncall: 700197 | eff(%):  2.998 | logz: -4035.624 +/-    nan | loglk: -3950.714 | dlogz: 21.717 >  0.010   | mean(time):  0.00821 | time: 2022-09-20 14:57:13.261668 
iter: 21250 | nc: 29 | ncall: 721410 | eff(%):  2.945 | logz: -4032.734 +/-    nan | loglk: -3946.722 | dlogz: 28.816 >  0.010   | mean(time):  0.00821 | time: 2022-09-20 15:00:06.510043 
iter: 21500 | nc: 25 | ncall: 752024 | eff(%):  2.858 | logz: -4030.228 +/-    nan | loglk: -3943.484 | dlogz: 25.309 >  0.010   | mean(time):  0.00836 | time: 2022-09-20 15:04:21.222508 
iter: 21750 | nc: 25 | ncall: 783843 | eff(%):  2.774 | logz: -4027.461 +/-    nan | loglk: -3939.462 | dlogz: 21.861 >  0.010   | mean(time):  0.00846 | time: 2022-09-20 15:08:48.605199 
iter: 22000 | nc: 25 | ncall: 840820 | eff(%):  2.616 | logz: -4024.435 +/-    nan | loglk: -3935.559 | dlogz: 22.723 >  0.010   | mean(time):  0.00850 | time: 2022-09-20 15:16:49.849758 
iter: 22250 | nc: 25 | ncall: 873404 | eff(%):  2.547 | logz: -4021.860 +/-    nan | loglk: -3932.208 | dlogz: 19.149 >  0.010   | mean(time):  0.00835 | time: 2022-09-20 15:21:21.127102 
iter: 22500 | nc: 25 | ncall: 900114 | eff(%):  2.499 | logz: -4019.561 +/-    nan | loglk: -3928.875 | dlogz: 21.690 >  0.010   | mean(time):  0.00845 | time: 2022-09-20 15:25:06.249835 
iter: 22750 | nc: 25 | ncall: 915457 | eff(%):  2.485 | logz: -4017.405 +/-    nan | loglk: -3925.800 | dlogz: 18.536 >  0.010   | mean(time):  0.00860 | time: 2022-09-20 15:27:17.196838 
iter: 23000 | nc: 25 | ncall: 926597 | eff(%):  2.482 | logz: -4015.292 +/-    nan | loglk: -3922.636 | dlogz: 24.279 >  0.010   | mean(time):  0.00849 | time: 2022-09-20 15:28:51.351045 
iter: 23250 | nc: 25 | ncall: 937743 | eff(%):  2.479 | logz: -4013.006 +/-    nan | loglk: -3919.380 | dlogz: 20.994 >  0.010   | mean(time):  0.00867 | time: 2022-09-20 15:30:27.686203 
iter: 23500 | nc: 25 | ncall: 951884 | eff(%):  2.468 | logz: -4010.813 +/-    nan | loglk: -3916.321 | dlogz: 17.802 >  0.010   | mean(time):  0.00873 | time: 2022-09-20 15:32:30.192996 
iter: 23750 | nc: 25 | ncall: 961465 | eff(%):  2.470 | logz: -4008.744 +/-    nan | loglk: -3913.488 | dlogz: 14.734 >  0.010   | mean(time):  0.00844 | time: 2022-09-20 15:33:50.879516 
iter: 24000 | nc: 25 | ncall: 967742 | eff(%):  2.479 | logz: -4007.015 +/-    nan | loglk: -3910.495 | dlogz: 14.249 >  0.010   | mean(time):  0.00866 | time: 2022-09-20 15:34:45.234022 
iter: 24250 | nc: 25 | ncall: 974010 | eff(%):  2.489 | logz: -4005.060 +/-    nan | loglk: -3907.690 | dlogz: 11.327 >  0.010   | mean(time):  0.00858 | time: 2022-09-20 15:35:39.031225 
iter: 24500 | nc: 25 | ncall: 980321 | eff(%):  2.499 | logz: -4002.999 +/-    nan | loglk: -3904.126 | dlogz:  8.273 >  0.010   | mean(time):  0.00848 | time: 2022-09-20 15:36:32.577662 
iter: 24750 | nc: 25 | ncall: 986597 | eff(%):  2.508 | logz: -4001.856 +/-    nan | loglk: -3903.315 | dlogz:  6.126 >  0.010   | mean(time):  0.00845 | time: 2022-09-20 15:37:25.604869 
iter: 25000 | nc: 25 | ncall: 992847 | eff(%):  2.517 | logz: -4000.714 +/-    nan | loglk: -3900.544 | dlogz:  4.006 >  0.010   | mean(time):  0.00840 | time: 2022-09-20 15:38:18.133974 
iter: 25250 | nc: 25 | ncall: 999097 | eff(%):  2.527 | logz: -3999.509 +/-    nan | loglk: -3899.176 | dlogz:  1.936 >  0.010   | mean(time):  0.00838 | time: 2022-09-20 15:39:10.488508 
iter: 25500 | nc: 25 | ncall: 1005347 | eff(%):  2.536 | logz: -3998.081 +/-    nan | loglk: -3896.962 | dlogz:  0.421 >  0.010   | mean(time):  0.00858 | time: 2022-09-20 15:40:04.100404 
